date,note
2025-07-01,
2025-07-02,14-18会議 太田（サンド）
2025-07-03,小野寺（スコーン）太田（サンド）
2025-07-04,
2025-07-05,13－23　－2人
2025-07-06,18ー23　－1人
2025-07-07,小野寺（スコーン）
2025-07-08,中村（パスタ）
2025-07-09,会議　13-17　－1人中村（パスタ）
2025-07-10,
2025-07-11,こうたキッチン
2025-07-12,18-23　－2人
2025-07-13,
2025-07-14,岡嶋キッチン
2025-07-15,13-18　－1人
2025-07-16,会議
2025-07-17,
2025-07-18,
2025-07-19,
2025-07-20,
2025-07-21,祝日（海の日）
2025-07-22,
2025-07-23,会議
2025-07-24,
2025-07-25,
2025-07-26,隅田川花火大会
2025-07-27,
2025-07-28,
2025-07-29,
2025-07-30,会議
2025-07-31,
